OrganisationID,EmployeeID,WeekDay,DayName,UnavailableHour
329970,305983,0,SUNDAY,1
329970,305983,0,SUNDAY,2
329970,305983,0,SUNDAY,3
329970,305983,0,SUNDAY,4
329970,305983,0,SUNDAY,5
329970,305983,0,SUNDAY,12
329970,305983,0,SUNDAY,13
329970,305983,0,SUNDAY,14
329970,305983,0,SUNDAY,15
329970,305983,0,SUNDAY,16
329970,305983,0,SUNDAY,17
329970,305983,0,SUNDAY,18
329970,305983,0,SUNDAY,19
329970,305983,0,SUNDAY,20
329970,305983,0,SUNDAY,21
329970,305983,0,SUNDAY,22
329970,305983,0,SUNDAY,23
329970,305983,0,SUNDAY,24
329970,305983,1,MONDAY,1
329970,305983,1,MONDAY,2
329970,305983,1,MONDAY,3
329970,305983,1,MONDAY,4
329970,305983,1,MONDAY,5
329970,305983,1,MONDAY,12
329970,305983,1,MONDAY,13
329970,305983,1,MONDAY,14
329970,305983,1,MONDAY,15
329970,305983,1,MONDAY,16
329970,305983,1,MONDAY,17
329970,305983,1,MONDAY,18
329970,305983,1,MONDAY,19
329970,305983,1,MONDAY,20
329970,305983,1,MONDAY,21
329970,305983,1,MONDAY,22
329970,305983,1,MONDAY,23
329970,305983,1,MONDAY,24
329970,305983,2,TUESDAY,14
329970,305983,2,TUESDAY,15
329970,305983,2,TUESDAY,16
329970,305983,2,TUESDAY,17
329970,305983,2,TUESDAY,18
329970,305983,2,TUESDAY,19
329970,305983,2,TUESDAY,20
329970,305983,2,TUESDAY,21
329970,305983,2,TUESDAY,22
329970,305983,2,TUESDAY,23
329970,305983,2,TUESDAY,24
329970,305983,4,THURSDAY,8
329970,305983,4,THURSDAY,9
329970,305983,4,THURSDAY,10
329970,305983,4,THURSDAY,11
329970,305983,4,THURSDAY,12
329970,305983,4,THURSDAY,20
329970,305983,4,THURSDAY,21
329970,305983,4,THURSDAY,22
329970,305983,4,THURSDAY,23
329970,305983,4,THURSDAY,24
329970,305983,5,FRIDAY,11
329970,305983,5,FRIDAY,12
329970,305983,5,FRIDAY,20
329970,305983,6,SATURDAY,14
329970,305983,6,SATURDAY,15
329970,305983,6,SATURDAY,16
329970,305983,6,SATURDAY,17
329970,305983,6,SATURDAY,18
329970,305983,6,SATURDAY,19
329970,305983,6,SATURDAY,20
329970,305983,6,SATURDAY,21
329970,305983,6,SATURDAY,22
329970,305983,6,SATURDAY,23
329970,305983,6,SATURDAY,24
329970,461594,3,WEDNESDAY,19
329970,461594,3,WEDNESDAY,20
329970,461594,4,THURSDAY,19
329970,461594,4,THURSDAY,20
329970,461594,5,FRIDAY,19
329970,461594,5,FRIDAY,20
329970,830982,3,WEDNESDAY,18
329970,830982,4,THURSDAY,18
329970,830982,5,FRIDAY,18
339259,23772,1,MONDAY,15
339259,23772,1,MONDAY,16
339259,23772,1,MONDAY,17
339259,23772,1,MONDAY,18
339259,23772,1,MONDAY,19
339259,23772,1,MONDAY,20
339259,23772,1,MONDAY,21
339259,23772,1,MONDAY,22
339259,23772,1,MONDAY,23
339259,23772,1,MONDAY,24
339259,23772,2,TUESDAY,15
339259,23772,2,TUESDAY,16
339259,23772,2,TUESDAY,17
339259,23772,2,TUESDAY,18
339259,23772,2,TUESDAY,19
339259,23772,2,TUESDAY,20
339259,23772,2,TUESDAY,21
339259,23772,2,TUESDAY,22
339259,23772,2,TUESDAY,23
339259,23772,2,TUESDAY,24
339259,23772,3,WEDNESDAY,15
339259,23772,3,WEDNESDAY,16
339259,23772,3,WEDNESDAY,17
339259,23772,3,WEDNESDAY,18
339259,23772,3,WEDNESDAY,19
339259,23772,3,WEDNESDAY,20
339259,23772,3,WEDNESDAY,21
339259,23772,3,WEDNESDAY,22
339259,23772,3,WEDNESDAY,23
339259,23772,3,WEDNESDAY,24
339259,23772,4,THURSDAY,15
339259,23772,4,THURSDAY,16
339259,23772,4,THURSDAY,17
339259,23772,4,THURSDAY,18
339259,23772,4,THURSDAY,19
339259,23772,4,THURSDAY,20
339259,23772,4,THURSDAY,21
339259,23772,4,THURSDAY,22
339259,23772,4,THURSDAY,23
339259,23772,4,THURSDAY,24
339259,23772,5,FRIDAY,1
339259,23772,5,FRIDAY,2
339259,23772,5,FRIDAY,3
339259,23772,5,FRIDAY,4
339259,23772,5,FRIDAY,5
339259,23772,5,FRIDAY,6
339259,23772,5,FRIDAY,7
339259,23772,5,FRIDAY,8
339259,23772,5,FRIDAY,9
339259,23772,5,FRIDAY,10
339259,23772,5,FRIDAY,11
339259,23772,5,FRIDAY,12
339259,23772,5,FRIDAY,13
339259,23772,5,FRIDAY,14
339259,23772,5,FRIDAY,15
339259,23772,5,FRIDAY,16
339259,23772,5,FRIDAY,17
339259,23772,5,FRIDAY,18
339259,23772,5,FRIDAY,19
339259,23772,5,FRIDAY,20
339259,23772,5,FRIDAY,21
339259,23772,5,FRIDAY,22
339259,23772,5,FRIDAY,23
339259,23772,5,FRIDAY,24
339259,43296,0,SUNDAY,1
339259,43296,0,SUNDAY,2
339259,43296,0,SUNDAY,3
339259,43296,0,SUNDAY,4
339259,43296,0,SUNDAY,5
339259,43296,0,SUNDAY,6
339259,43296,0,SUNDAY,7
339259,43296,0,SUNDAY,23
339259,43296,0,SUNDAY,24
339259,43296,1,MONDAY,1
339259,43296,1,MONDAY,2
339259,43296,1,MONDAY,3
339259,43296,1,MONDAY,4
339259,43296,1,MONDAY,5
339259,43296,1,MONDAY,6
339259,43296,1,MONDAY,7
339259,43296,1,MONDAY,23
339259,43296,1,MONDAY,24
339259,43296,2,TUESDAY,1
339259,43296,2,TUESDAY,2
339259,43296,2,TUESDAY,3
339259,43296,2,TUESDAY,4
339259,43296,2,TUESDAY,5
339259,43296,2,TUESDAY,6
339259,43296,2,TUESDAY,7
339259,43296,2,TUESDAY,23
339259,43296,2,TUESDAY,24
339259,43296,3,WEDNESDAY,1
339259,43296,3,WEDNESDAY,2
339259,43296,3,WEDNESDAY,3
339259,43296,3,WEDNESDAY,4
339259,43296,3,WEDNESDAY,5
339259,43296,3,WEDNESDAY,6
339259,43296,3,WEDNESDAY,7
339259,43296,3,WEDNESDAY,23
339259,43296,3,WEDNESDAY,24
339259,43296,4,THURSDAY,1
339259,43296,4,THURSDAY,2
339259,43296,4,THURSDAY,3
339259,43296,4,THURSDAY,4
339259,43296,4,THURSDAY,5
339259,43296,4,THURSDAY,6
339259,43296,4,THURSDAY,7
339259,43296,4,THURSDAY,23
339259,43296,4,THURSDAY,24
339259,43296,5,FRIDAY,1
339259,43296,5,FRIDAY,2
339259,43296,5,FRIDAY,3
339259,43296,5,FRIDAY,4
339259,43296,5,FRIDAY,5
339259,43296,5,FRIDAY,6
339259,43296,5,FRIDAY,7
339259,43296,5,FRIDAY,23
339259,43296,5,FRIDAY,24
339259,43296,6,SATURDAY,1
339259,43296,6,SATURDAY,2
339259,43296,6,SATURDAY,3
339259,43296,6,SATURDAY,4
339259,43296,6,SATURDAY,5
339259,43296,6,SATURDAY,6
339259,43296,6,SATURDAY,7
339259,43296,6,SATURDAY,23
339259,43296,6,SATURDAY,24
329970,778632,0,SUNDAY,1
329970,778632,0,SUNDAY,2
329970,778632,0,SUNDAY,3
329970,778632,0,SUNDAY,4
329970,778632,0,SUNDAY,5
329970,778632,1,MONDAY,1
329970,778632,1,MONDAY,2
329970,778632,1,MONDAY,3
329970,778632,1,MONDAY,4
329970,778632,1,MONDAY,5
329970,778632,1,MONDAY,6
329970,778632,1,MONDAY,7
329970,778632,1,MONDAY,8
329970,778632,1,MONDAY,9
329970,778632,1,MONDAY,10
329970,778632,1,MONDAY,11
329970,778632,1,MONDAY,12
329970,778632,1,MONDAY,13
329970,778632,1,MONDAY,14
329970,778632,1,MONDAY,15
329970,778632,1,MONDAY,16
329970,778632,2,TUESDAY,1
329970,778632,2,TUESDAY,2
329970,778632,2,TUESDAY,3
329970,778632,2,TUESDAY,4
329970,778632,2,TUESDAY,5
329970,778632,2,TUESDAY,6
329970,778632,2,TUESDAY,7
329970,778632,2,TUESDAY,8
329970,778632,2,TUESDAY,9
329970,778632,2,TUESDAY,10
329970,778632,2,TUESDAY,11
329970,778632,2,TUESDAY,12
329970,778632,2,TUESDAY,13
329970,778632,2,TUESDAY,14
329970,778632,2,TUESDAY,15
329970,778632,2,TUESDAY,16
329970,778632,3,WEDNESDAY,1
329970,778632,3,WEDNESDAY,2
329970,778632,3,WEDNESDAY,3
329970,778632,3,WEDNESDAY,4
329970,778632,3,WEDNESDAY,5
329970,778632,3,WEDNESDAY,6
329970,778632,3,WEDNESDAY,7
329970,778632,3,WEDNESDAY,8
329970,778632,3,WEDNESDAY,9
329970,778632,3,WEDNESDAY,10
329970,778632,3,WEDNESDAY,11
329970,778632,3,WEDNESDAY,12
329970,778632,3,WEDNESDAY,13
329970,778632,3,WEDNESDAY,14
329970,778632,3,WEDNESDAY,15
329970,778632,3,WEDNESDAY,16
329970,778632,4,THURSDAY,1
329970,778632,4,THURSDAY,2
329970,778632,4,THURSDAY,3
329970,778632,4,THURSDAY,4
329970,778632,4,THURSDAY,5
329970,778632,4,THURSDAY,6
329970,778632,4,THURSDAY,7
329970,778632,4,THURSDAY,8
329970,778632,4,THURSDAY,9
329970,778632,4,THURSDAY,10
329970,778632,4,THURSDAY,11
329970,778632,4,THURSDAY,12
329970,778632,4,THURSDAY,13
329970,778632,4,THURSDAY,14
329970,778632,4,THURSDAY,15
329970,778632,4,THURSDAY,16
329970,778632,5,FRIDAY,1
329970,778632,5,FRIDAY,2
329970,778632,5,FRIDAY,3
329970,778632,5,FRIDAY,4
329970,778632,5,FRIDAY,5
329970,778632,5,FRIDAY,6
329970,778632,5,FRIDAY,7
329970,778632,5,FRIDAY,8
329970,778632,5,FRIDAY,9
329970,778632,5,FRIDAY,10
329970,778632,5,FRIDAY,11
329970,778632,5,FRIDAY,12
329970,778632,5,FRIDAY,13
329970,778632,5,FRIDAY,14
329970,778632,5,FRIDAY,15
329970,778632,5,FRIDAY,16
329970,778632,6,SATURDAY,1
